Person Name,Person Link,New Column
Hatem Ali,https://pureportal.coventry.ac.uk/en/persons/hatem-ali,"Ali, H"
Sara Anisi,https://pureportal.coventry.ac.uk/en/persons/sara-anisi,"Anisi, S"
Soraya Anisi,https://pureportal.coventry.ac.uk/en/persons/soraya-anisi,"Anisi, S"
Hoor Ayub,https://pureportal.coventry.ac.uk/en/persons/hoor-ayub,"Ayub, H"
Ryan Brett,https://pureportal.coventry.ac.uk/en/persons/ryan-brett,"Brett, R"
Hannah Bridgewater,https://pureportal.coventry.ac.uk/en/persons/hannah-bridgewater,"Bridgewater, H"
Bernard Burke,https://pureportal.coventry.ac.uk/en/persons/bernie-burke,"Burke, B"
Isadora Clivatti Furigo,https://pureportal.coventry.ac.uk/en/persons/isadora-clivatti-furigo,"Furigo, IC"
Andra Denisa Constantin,https://pureportal.coventry.ac.uk/en/persons/andra-denisa-constantin,"Constantin, AD"
Giuseppe Deganutti,https://pureportal.coventry.ac.uk/en/persons/giuseppe-deganutti,"Deganutti, G"
Mike Dodd,https://pureportal.coventry.ac.uk/en/persons/mike-dodd,"Dodd, M"
Matthew Duffield Healy,https://pureportal.coventry.ac.uk/en/persons/matthew-duffield-healy,"Healy, MD"
Ahmed Abdelmageed Saad Ahmed Elwakeel,https://pureportal.coventry.ac.uk/en/persons/ahmed-abdelmageed-saad-ahmed-elwakeel,"Elwakeel, AA"
Sebastien Farnaud,https://pureportal.coventry.ac.uk/en/persons/sebastien-farnaud,"Farnaud, S"
Clara Ferreira,https://pureportal.coventry.ac.uk/en/persons/clara-ferreira,"Ferreira, C"
Michael Fishwick,https://pureportal.coventry.ac.uk/en/persons/michael-fishwick,"Fishwick, M"
Amy Fuller,https://pureportal.coventry.ac.uk/en/persons/amy-fuller,"Fuller, A"
Alex Edward Georgiou,https://pureportal.coventry.ac.uk/en/persons/alex-edward-georgiou,"Georgiou, AE"
"Jennifer Greaves, PhD",https://pureportal.coventry.ac.uk/en/persons/jennifer-greaves,"PhD, JG"
Peter Griffin,https://pureportal.coventry.ac.uk/en/persons/peter-griffin,"Griffin, P"
Raouf Hosseini,https://pureportal.coventry.ac.uk/en/persons/raouf-hosseini,"Hosseini, R"
Camila Idigbe,https://pureportal.coventry.ac.uk/en/persons/camila-idigbe,"Idigbe, C"
Djordje Jakovljevic,https://pureportal.coventry.ac.uk/en/persons/djordje-jakovljevic,"Jakovljevic, D"
David Johnson,https://pureportal.coventry.ac.uk/en/persons/david-johnson,"Johnson, D"
Ayesha Judge,https://pureportal.coventry.ac.uk/en/persons/ayesha-judge,"Judge, A"
Hateem Kayani,https://pureportal.coventry.ac.uk/en/persons/hateem-kayani,"Kayani, H"
Hugh Kikuchi,https://pureportal.coventry.ac.uk/en/persons/hugh-kikuchi-2,"Kikuchi, H"
Gestel Christine Kuyler,https://pureportal.coventry.ac.uk/en/persons/gestel-christine-kuyler,"Kuyler, GC"
Ioannis Kyrou,https://pureportal.coventry.ac.uk/en/persons/ioannis-kyrou,"Kyrou, I"
Adam Linekar,https://pureportal.coventry.ac.uk/en/persons/adam-michael-linekar,"Linekar, A"
Caroline Lozahic,https://pureportal.coventry.ac.uk/en/persons/caroline-lozahic,"Lozahic, C"
Richard Mackenzie,https://pureportal.coventry.ac.uk/en/persons/richard-mackenzie,"Mackenzie, R"
Dovile Maiskiene,https://pureportal.coventry.ac.uk/en/persons/dovile-maiskiene-2,"Maiskiene, D"
Leeann Marshall,https://pureportal.coventry.ac.uk/en/persons/leeann-marshall,"Marshall, L"
Lorena Mejuto Miranda,https://pureportal.coventry.ac.uk/en/persons/lorena-mejuto-miranda,"Miranda, LM"
Igor Morozov,https://pureportal.coventry.ac.uk/en/persons/igor-morozov,"Morozov, I"
Rebecca Jane Murray,https://pureportal.coventry.ac.uk/en/persons/rebecca-jane-murray,"Murray, RJ"
David Mutigwa,https://pureportal.coventry.ac.uk/en/persons/david-mutigwa,"Mutigwa, D"
Farhaan Napier Khwaja,https://pureportal.coventry.ac.uk/en/persons/farhaan-napier-khwaja,"Khwaja, FN"
Choa Ping Ng,https://pureportal.coventry.ac.uk/en/persons/choa-ping-ng,"Ng, CP"
