Title,Authors,Publication Date,Publication Link
Barriers and Facilitators to Participation and Key Components of Sleep Health Programs: perspectives for the corporate work environment,"['Roden, L.']",1 Jan 2024,https://pureportal.coventry.ac.uk/en/publications/barriers-and-facilitators-to-participation-and-key-components-of-
Doxorubicin alters G-protein coupled receptor-mediated vasocontraction in rat coronary arteries,"['Lozahic, C.', 'Maddock, H.', 'Wheatley, M.', 'Sandhu, H.']",29 Jan 2024,https://pureportal.coventry.ac.uk/en/publications/doxorubicin-alters-g-protein-coupled-receptor-mediated-vasocontra
Human gut microbiota and endocrinology: paradigm shift from genome to its regulation,"['Turner, M. C.', 'Morozov, I.']",1 Feb 2024,https://pureportal.coventry.ac.uk/en/publications/human-gut-microbiota-and-endocrinology-paradigm-shift-from-genome
In Silico and In Vitro Mapping of Receptor-Type Protein Tyrosine Phosphatase Receptor Type D in Health and Disease: Implications for Asprosin Signalling in Endometrial Cancer and Neuroblastoma,"['Kyrou, I.']",30 Jan 2024,https://pureportal.coventry.ac.uk/en/publications/in-silico-and-in-vitro-mapping-of-receptor-type-protein-tyrosine-
Limitations of Protein Structure Prediction Algorithms in Therapeutic Protein Development,"['Mariam, Z.']",8 Jan 2024,https://pureportal.coventry.ac.uk/en/publications/limitations-of-protein-structure-prediction-algorithms-in-therape
SGABU computational platform for multiscale modeling: Bridging the gap between education and research,"['Jakovljević, D.']",1 Jan 2024,https://pureportal.coventry.ac.uk/en/publications/sgabu-computational-platform-for-multiscale-modeling-bridging-the
The Influence of Polycystic Ovary Syndrome (PCOS) and Other Related Factors upon Health-Related Quality of Life in Women of Reproductive Age: A Case-Control Study,"['Kyrou, I.']",9 Jan 2024,https://pureportal.coventry.ac.uk/en/publications/the-influence-of-polycystic-ovary-syndrome-pcos-and-other-related
A Comparative Study of FLL and PLL in Boost PFC Converter Control for Smart Greenhouse Farming Application,"['Pay, M. L.', 'Christensen, J.', 'He, F.', 'Roden, L. C.']",28 Sept 2023,https://pureportal.coventry.ac.uk/en/publications/a-comparative-study-of-fll-and-pll-in-boost-pfc-converter-control
"A comprehensive review of bioleaching optimization by statistical approaches: recycling mechanisms, factors affecting, challenges, and sustainability","['Farnaud, S.']",7 Aug 2023,https://pureportal.coventry.ac.uk/en/publications/a-comprehensive-review-of-bioleaching-optimization-by-statistical
Age-Related Differences in Trunk Kinematics and Interplanar Decoupling with the Pelvis during Gait in Healthy Older versus Younger Men,"['Duncan, M.', 'Tallis, J.', 'Renshaw, D.']",18 Apr 2023,https://pureportal.coventry.ac.uk/en/publications/age-related-differences-in-trunk-kinematics-and-interplanar-decou
Application of non‐invasive bioreactance to assess hemodynamic function in patients with hypertrophic cardiomyopathy,"['Okwose, N. C.', 'Jakovljevic, D. G.']",18 Jun 2023,https://pureportal.coventry.ac.uk/en/publications/application-of-noninvasive-bioreactance-to-assess-hemodynamic-fun
